qday	ridenum
1-Jul-15	387
2-Jul-15	470
3-Jul-15	598
4-Jul-15	759
5-Jul-15	600
6-Jul-15	278
7-Jul-15	291
8-Jul-15	323
9-Jul-15	227
10-Jul-15	359
11-Jul-15	661
12-Jul-15	399
13-Jul-15	297
14-Jul-15	245
15-Jul-15	346
16-Jul-15	495
17-Jul-15	418
18-Jul-15	558
19-Jul-15	402
20-Jul-15	337
21-Jul-15	344
22-Jul-15	491
23-Jul-15	471
24-Jul-15	442
25-Jul-15	651
26-Jul-15	855
27-Jul-15	371
28-Jul-15	324
29-Jul-15	331
30-Jul-15	330
31-Jul-15	544
1-Aug-15	538
2-Aug-15	250
3-Aug-15	387
4-Aug-15	436
5-Aug-15	405
6-Aug-15	452
7-Aug-15	539
8-Aug-15	523
9-Aug-15	296
10-Aug-15	417
11-Aug-15	392
12-Aug-15	416
13-Aug-15	403
14-Aug-15	561
15-Aug-15	431
16-Aug-15	409
17-Aug-15	282
18-Aug-15	419
19-Aug-15	392
20-Aug-15	496
21-Aug-15	676
22-Aug-15	568
23-Aug-15	347
24-Aug-15	362
25-Aug-15	361
26-Aug-15	383
27-Aug-15	427
28-Aug-15	618
29-Aug-15	453
30-Aug-15	294
31-Aug-15	315
1-Sep-15	382
2-Sep-15	348
3-Sep-15	359
4-Sep-15	586
5-Sep-15	549
6-Sep-15	309
7-Sep-15	220
8-Sep-15	255
9-Sep-15	374
10-Sep-15	152
11-Sep-15	212
12-Sep-15	321
13-Sep-15	376
14-Sep-15	384
15-Sep-15	359
16-Sep-15	362
17-Sep-15	530
18-Sep-15	437
19-Sep-15	305
20-Sep-15	304
21-Sep-15	359
22-Sep-15	359
23-Sep-15	438
24-Sep-15	480
25-Sep-15	354
26-Sep-15	193
27-Sep-15	61
